Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-September-2021,638.00,638.00,632.54,636.00,636.082601054481546572,1138,36,723862.00,1106,97.19,5.46,-2.00
21-September-2021,630.00,641.90,630.00,634.03,634.235514018691588785,1070,63,678632.00,880,82.24,11.90,4.03
20-September-2021,641.90,644.00,637.93,641.11,642.454932576295244854,1409,46,905219.00,1406,99.79,6.07,-0.79
17-September-2021,635.00,642.79,631.02,634.40,639.626072041166380789,583,37,372902.00,389,66.72,11.77,-0.60
16-September-2021,633.90,644.90,624.00,633.29,632.650980392156862745,255,52,161326.00,187,73.33,20.90,-0.61
15-September-2021,609.94,632.00,609.94,632.00,629.084622383985441310,1099,48,691364.00,850,77.34,22.06,22.06
14-September-2021,630.00,630.00,626.01,628.80,628.881670533642691415,431,30,271048.00,369,85.61,3.99,-1.20
13-September-2021,630.00,630.00,624.11,625.13,628.351706036745406824,1524,84,957608.00,1517,99.54,5.89,-4.87
9-September-2021,630.00,630.00,626.00,629.90,629.792717086834733893,357,25,224836.00,352,98.60,4.00,-0.10
8-September-2021,628.00,629.00,624.12,628.70,628.500517063081695966,967,51,607760.00,714,73.84,4.88,0.70
7-September-2021,629.90,629.90,621.50,629.70,627.105981112277019937,953,60,597632.00,734,77.02,8.40,-0.20
6-September-2021,623.98,629.90,614.00,626.96,624.927570093457943925,428,71,267469.00,311,72.66,15.90,2.98
3-September-2021,616.70,623.99,615.00,619.00,620.484276729559748427,159,24,98657.00,98,61.64,8.99,2.30
2-September-2021,620.00,630.00,611.41,617.21,617.451923076923076923,416,44,256860.00,380,91.35,18.59,-2.79
1-September-2021,613.00,621.68,611.46,618.00,619.482625482625482625,259,38,160446.00,207,79.92,10.22,5.00
31-August-2021,611.00,612.99,608.24,611.00,611.167630057803468208,173,22,105732.00,172,99.42,4.75,0.00
30-August-2021,605.10,614.77,605.00,610.77,610.414057063326374391,1437,71,877165.00,911,63.40,9.77,5.67
27-August-2021,608.00,617.00,602.10,609.56,607.505376344086021505,372,47,225992.00,312,83.87,14.90,1.56
26-August-2021,608.00,618.01,605.70,607.68,609.910256410256410256,390,67,237865.00,324,83.08,12.31,-0.32
25-August-2021,610.00,610.00,597.15,609.76,607.256916996047430830,759,52,460908.00,600,79.05,12.85,-0.24
24-August-2021,608.00,610.00,600.55,610.00,607.538557213930348258,804,33,488461.00,697,86.69,9.45,2.00
23-August-2021,605.00,610.50,600.10,604.25,606.889322916666666666,768,103,466091.00,578,75.26,10.40,-0.75
20-August-2021,620.00,668.56,597.10,610.49,615.442945145203872103,3409,451,2098045.00,2146,62.95,71.46,-9.51
18-August-2021,597.00,622.99,593.10,617.69,605.196803196803196803,1001,72,605802.00,715,71.43,29.89,20.69
17-August-2021,596.17,604.83,585.10,594.47,596.461538461538461538,1001,106,597058.00,869,86.81,19.73,-1.70
16-August-2021,590.00,704.80,588.00,596.15,644.856476338591424127,4501,769,2902499.00,3416,75.89,116.80,6.15
13-August-2021,585.00,593.16,585.00,589.20,587.857723577235772357,246,35,144613.00,193,78.46,8.16,4.20
12-August-2021,584.00,588.50,583.00,584.66,587.090395480225988700,177,37,103915.00,143,80.79,5.50,0.66
11-August-2021,587.00,589.00,582.00,586.14,585.738095238095238095,336,50,196808.00,300,89.29,7.00,-0.86
10-August-2021,598.35,598.35,577.94,583.03,581.802460202604920405,1382,86,804051.00,1269,91.82,20.41,-15.32
9-August-2021,575.00,590.00,575.00,586.62,586.456424079065588499,1113,84,652726.00,1074,96.50,15.00,11.62
6-August-2021,599.95,599.95,577.10,582.67,583.880952380952380952,42,16,24523.00,36,85.71,22.85,-17.28
5-August-2021,580.00,584.96,577.00,578.27,580.773584905660377358,265,33,153905.00,234,88.30,7.96,-1.73
4-August-2021,574.98,579.70,574.98,576.05,575.859977641140301844,3578,86,2060427.00,2682,74.96,4.72,1.07
3-August-2021,571.90,575.89,566.55,574.98,571.015625000000000000,1088,43,621265.00,673,61.86,9.34,3.08
2-August-2021,571.34,576.64,565.30,569.79,571.036067193675889328,2024,109,1155777.00,1213,59.93,11.34,-1.55
30-July-2021,570.00,571.90,566.75,567.30,568.000000000000000000,98,21,55664.00,73,74.49,5.15,-2.70
29-July-2021,568.00,568.00,563.50,564.75,565.936241610738255033,298,15,168649.00,296,99.33,4.50,-3.25
28-July-2021,570.00,570.00,563.00,565.15,565.137847642079806529,827,77,467369.00,647,78.23,7.00,-4.85
27-July-2021,572.00,572.00,566.00,569.92,569.337016574585635359,181,40,103050.00,129,71.27,6.00,-2.08
26-July-2021,571.00,572.00,565.00,571.95,570.995098039215686274,816,54,465932.00,532,65.20,7.00,0.95
23-July-2021,567.30,569.81,563.84,569.36,567.424947145877378435,473,22,268392.00,411,86.89,5.97,2.06
22-July-2021,565.00,568.89,563.05,565.85,567.027932960893854748,358,34,202996.00,249,69.55,5.84,0.85
20-July-2021,564.00,567.98,559.65,561.90,563.081916537867078825,1294,69,728628.00,942,72.80,8.33,-2.10
19-July-2021,569.00,570.42,560.10,565.98,566.564543889845094664,581,61,329174.00,375,64.54,10.32,-3.02
16-July-2021,576.70,576.70,563.69,568.17,566.241706161137440758,422,27,238954.00,409,96.92,13.01,-8.53
15-July-2021,567.00,568.41,561.70,565.35,564.782608695652173913,598,48,337740.00,502,83.95,6.71,-1.65
14-July-2021,566.00,568.50,563.12,566.50,565.527559055118110236,127,35,71822.00,121,95.28,5.38,0.50
13-July-2021,562.00,565.00,560.29,561.65,562.239583333333333333,192,21,107950.00,144,75.00,4.71,-0.35
12-July-2021,567.00,569.90,560.00,560.29,564.827858081471747700,761,48,429834.00,733,96.32,9.90,-6.71
9-July-2021,569.99,569.99,562.00,563.36,564.377574370709382151,437,65,246633.00,355,81.24,7.99,-6.63
8-July-2021,572.40,572.40,563.51,567.74,567.962921348314606741,890,53,505487.00,834,93.71,8.89,-4.66
7-July-2021,572.00,575.90,565.00,571.44,568.920159680638722554,501,51,285029.00,399,79.64,10.90,-0.56
6-July-2021,566.00,571.25,564.00,571.25,569.129568106312292358,301,35,171308.00,189,62.79,7.25,5.25
5-July-2021,564.40,572.70,560.00,568.86,568.606596942880128720,1243,107,706778.00,766,61.63,12.70,4.46
2-July-2021,562.96,564.40,557.01,564.37,562.054901960784313725,255,28,143324.00,153,60.00,7.39,1.41
1-July-2021,562.71,568.00,560.90,561.77,562.184357541899441340,537,49,301893.00,450,83.80,7.10,-0.94
30-June-2021,565.00,568.31,560.86,562.13,563.452480573819485953,1673,57,942656.00,1632,97.55,7.45,-2.87
29-June-2021,566.30,566.30,562.00,562.90,563.325775656324582338,838,15,472067.00,819,97.73,4.30,-3.40
28-June-2021,569.00,572.00,562.75,562.98,567.423476968796433878,673,46,381876.00,571,84.84,9.25,-6.02
25-June-2021,567.40,570.00,563.16,565.04,568.327414772727272727,1408,70,800205.00,1224,86.93,6.84,-2.36
24-June-2021,563.00,567.39,563.00,567.39,566.846815834767641996,581,27,329338.00,525,90.36,4.39,4.39
23-June-2021,567.60,579.90,564.54,568.35,570.420765027322404371,1098,53,626322.00,819,74.59,15.36,0.75
22-June-2021,565.90,568.00,561.01,567.55,565.515894641235240690,1101,53,622633.00,835,75.84,6.99,1.65
21-June-2021,556.00,564.49,556.00,561.98,560.831896551724137931,696,82,390339.00,458,65.80,8.49,5.98
