,Open,High,Low,Close,Adj Close,Volume
2019-07-23 09:15:00+05:30,38031.12890625,38138.55859375,37917.609375,38094.58984375,38094.58984375,0
2019-07-23 10:15:00+05:30,38080.9609375,38116.37890625,38015.91015625,38061.921875,38061.921875,0
2019-07-23 11:15:00+05:30,38067.1796875,38075.6484375,38015.91015625,38057.71875,38057.71875,0
2019-07-23 12:15:00+05:30,38075.6484375,38104.53125,38019.9609375,38077.7109375,38077.7109375,0
2019-07-23 13:15:00+05:30,38085.12890625,38205.140625,38050.80859375,38185.55859375,38185.55859375,0
2019-07-23 14:15:00+05:30,38155.94921875,38217.80859375,37898.8984375,37974.23046875,37974.23046875,0
2019-07-23 15:15:00+05:30,37973.76171875,38007.1796875,37959.73828125,37978.640625,37978.640625,0
2019-07-24 09:15:00+05:30,37982.73828125,38101.421875,37765.671875,37797.75,37797.75,0
2019-07-24 10:15:00+05:30,37791.890625,37840.1015625,37708.41015625,37721.75,37721.75,0
2019-07-24 11:15:00+05:30,37749.1796875,37795.5703125,37712.6015625,37753.30078125,37753.30078125,0
2019-07-24 12:15:00+05:30,37768.859375,37841.4296875,37709.69921875,37815.51953125,37815.51953125,0
2019-07-24 13:15:00+05:30,37807.12890625,37949.5703125,37764.19921875,37938.83984375,37938.83984375,0
2019-07-24 14:15:00+05:30,37907.37109375,37949.5703125,37755.83984375,37838.66015625,37838.66015625,0
2019-07-24 15:15:00+05:30,37842.9609375,37882.0703125,37830.890625,37848.0,37848.0,0
2019-07-25 09:15:00+05:30,37847.6484375,38169.51171875,37847.6484375,38079.48828125,38079.48828125,0
2019-07-25 10:15:00+05:30,38144.80078125,38160.5390625,37943.7109375,38010.421875,38010.421875,0
2019-07-25 11:15:00+05:30,38026.78125,38032.51171875,37821.19140625,37824.12890625,37824.12890625,0
2019-07-25 12:15:00+05:30,37874.4609375,37907.01171875,37775.69140625,37819.859375,37819.859375,0
2019-07-25 13:15:00+05:30,37807.3203125,37929.109375,37775.69140625,37883.71875,37883.71875,0
2019-07-25 14:15:00+05:30,37909.6015625,37999.87109375,37779.5390625,37821.609375,37821.609375,0
2019-07-25 15:15:00+05:30,37821.19140625,37857.328125,37812.80859375,37845.0,37845.0,0
2019-07-26 09:15:00+05:30,37830.98046875,37887.55078125,37690.7109375,37736.26171875,37736.26171875,0
2019-07-26 10:15:00+05:30,37747.640625,37901.76171875,37691.16015625,37866.94921875,37866.94921875,0
2019-07-26 11:15:00+05:30,37824.2890625,37977.859375,37824.2890625,37931.1484375,37931.1484375,0
2019-07-26 12:15:00+05:30,37969.05859375,37977.859375,37844.44921875,37913.55078125,37913.55078125,0
2019-07-26 13:15:00+05:30,37873.37109375,37940.62109375,37801.23828125,37878.58984375,37878.58984375,0
2019-07-26 14:15:00+05:30,37820.30859375,37918.05859375,37819.71875,37877.640625,37877.640625,0
2019-07-26 15:15:00+05:30,37873.828125,37940.578125,37871.0390625,37938.640625,37938.640625,0
2019-07-29 09:15:00+05:30,38043.21875,38043.21875,37760.19921875,37795.03125,37795.03125,0
2019-07-29 10:15:00+05:30,37801.76171875,37837.671875,37754.2109375,37828.91015625,37828.91015625,0
2019-07-29 11:15:00+05:30,37799.87890625,37837.671875,37519.37109375,37580.30859375,37580.30859375,0
2019-07-29 12:15:00+05:30,37542.46875,37649.6796875,37519.37109375,37641.5,37641.5,0
2019-07-29 13:15:00+05:30,37587.87109375,37779.390625,37586.6484375,37706.62109375,37706.62109375,0
2019-07-29 14:15:00+05:30,37709.19921875,37743.890625,37603.87109375,37687.51171875,37687.51171875,0
2019-07-29 15:15:00+05:30,37687.76953125,37703.62109375,37663.421875,37698.671875,37698.671875,0
2019-07-30 09:15:00+05:30,37686.37109375,37949.109375,37686.37109375,37850.41015625,37850.41015625,0
2019-07-30 10:15:00+05:30,37885.62109375,37903.94140625,37765.12890625,37780.87109375,37780.87109375,0
2019-07-30 11:15:00+05:30,37789.23046875,37828.94921875,37617.5,37792.30859375,37792.30859375,0
2019-07-30 12:15:00+05:30,37731.109375,37819.94921875,37712.6015625,37735.78125,37735.78125,0
2019-07-30 13:15:00+05:30,37735.5,37791.76953125,37677.08984375,37695.1796875,37695.1796875,0
2019-07-30 14:15:00+05:30,37749.46875,37785.30859375,37364.62109375,37402.83984375,37402.83984375,0
2019-07-30 15:15:00+05:30,37406.4296875,37427.58984375,37359.80078125,37363.5390625,37363.5390625,0
2019-07-31 09:15:00+05:30,37397.23828125,37397.23828125,37160.12890625,37258.359375,37258.359375,0
2019-07-31 10:15:00+05:30,37305.41015625,37311.44921875,37128.26171875,37223.16015625,37223.16015625,0
2019-07-31 11:15:00+05:30,37179.08984375,37431.87109375,37171.21875,37343.55859375,37343.55859375,0
2019-07-31 12:15:00+05:30,37398.390625,37422.640625,37297.12890625,37416.5703125,37416.5703125,0
2019-07-31 13:15:00+05:30,37353.12109375,37462.12109375,37308.921875,37396.78125,37396.78125,0
2019-07-31 14:15:00+05:30,37409.69921875,37576.37109375,37371.30859375,37521.76953125,37521.76953125,0
2019-07-31 15:15:00+05:30,37521.33984375,37529.94140625,37450.5390625,37480.87890625,37480.87890625,0
2019-08-01 09:15:00+05:30,37481.12109375,37481.12109375,37215.80078125,37237.23046875,37237.23046875,0
2019-08-01 10:15:00+05:30,37271.30078125,37276.62109375,37046.390625,37050.41015625,37050.41015625,0
2019-08-01 11:15:00+05:30,37092.8203125,37113.828125,36973.21875,36997.8515625,36997.8515625,0
2019-08-01 12:15:00+05:30,37016.3203125,37075.75,36973.21875,36982.12890625,36982.12890625,0
2019-08-01 13:15:00+05:30,37028.55078125,37053.12890625,36898.30859375,36960.609375,36960.609375,0
2019-08-01 14:15:00+05:30,36939.01953125,37108.69921875,36694.1796875,37108.69921875,37108.69921875,0
2019-08-01 15:15:00+05:30,37105.30078125,37111.9296875,37040.01953125,37064.01953125,37064.01953125,0
2019-08-02 09:15:00+05:30,37018.3203125,37018.3203125,36617.8984375,36662.05859375,36662.05859375,0
2019-08-02 10:15:00+05:30,36680.98046875,36749.03125,36607.62109375,36704.87109375,36704.87109375,0
2019-08-02 11:15:00+05:30,36680.25,36957.0,36660.328125,36896.91015625,36896.91015625,0
2019-08-02 12:15:00+05:30,36918.421875,36957.0,36785.12890625,36849.8515625,36849.8515625,0
2019-08-02 13:15:00+05:30,36859.140625,37273.0390625,36773.01953125,37272.421875,37272.421875,0
2019-08-02 14:15:00+05:30,37184.71875,37375.0703125,37015.12109375,37161.80859375,37161.80859375,0
2019-08-02 15:15:00+05:30,37160.390625,37169.87890625,37092.5703125,37137.01171875,37137.01171875,0
2019-08-05 09:15:00+05:30,36842.171875,36842.171875,36444.7890625,36547.58984375,36547.58984375,0
2019-08-05 10:15:00+05:30,36550.30078125,36618.21875,36450.609375,36512.26953125,36512.26953125,0
2019-08-05 11:15:00+05:30,36481.30859375,36682.75,36418.9296875,36646.44921875,36646.44921875,0
2019-08-05 12:15:00+05:30,36651.12109375,36756.78125,36559.609375,36646.53125,36646.53125,0
2019-08-05 13:15:00+05:30,36662.08984375,36717.23828125,36550.6015625,36663.66015625,36663.66015625,0
2019-08-05 14:15:00+05:30,36628.12109375,36722.921875,36592.55078125,36684.859375,36684.859375,0
2019-08-05 15:15:00+05:30,36694.140625,36737.140625,36680.19140625,36695.75,36695.75,0
2019-08-06 09:15:00+05:30,36699.83984375,36932.7109375,36558.37109375,36862.73046875,36862.73046875,0
2019-08-06 10:15:00+05:30,36860.51953125,36899.3515625,36761.26953125,36778.91015625,36778.91015625,0
2019-08-06 11:15:00+05:30,36850.73046875,36899.76171875,36766.98046875,36897.30859375,36897.30859375,0
2019-08-06 12:15:00+05:30,36855.578125,37045.890625,36853.83984375,37011.19140625,37011.19140625,0
2019-08-06 13:15:00+05:30,37021.9296875,37160.30859375,36932.8984375,37160.30859375,37160.30859375,0
2019-08-06 14:15:00+05:30,37065.33984375,37241.6796875,36954.5703125,36995.03125,36995.03125,0
2019-08-06 15:15:00+05:30,36996.30859375,37001.2109375,36899.578125,36927.73046875,36927.73046875,0
2019-08-07 09:15:00+05:30,36976.8515625,37066.58984375,36885.66015625,37003.69921875,37003.69921875,0
2019-08-07 10:15:00+05:30,37017.71875,37051.921875,36924.08984375,37040.078125,37040.078125,0
2019-08-07 11:15:00+05:30,36953.5703125,37104.7890625,36815.921875,37010.7890625,37010.7890625,0
2019-08-07 12:15:00+05:30,36967.9296875,37059.75,36815.921875,37028.73046875,37028.73046875,0
2019-08-07 13:15:00+05:30,37000.37890625,37045.83984375,36775.71875,36920.71875,36920.71875,0
2019-08-07 14:15:00+05:30,36805.2890625,36951.19921875,36658.48828125,36691.66015625,36691.66015625,0
2019-08-07 15:15:00+05:30,36692.91015625,36693.078125,36611.80859375,36627.80859375,36627.80859375,0
2019-08-08 09:15:00+05:30,36690.5,36903.33984375,36656.16015625,36762.828125,36762.828125,0
2019-08-08 10:15:00+05:30,36727.51171875,36863.28125,36727.19921875,36765.5390625,36765.5390625,0
2019-08-08 11:15:00+05:30,36778.80078125,36836.37109375,36699.12890625,36798.1484375,36798.1484375,0
2019-08-08 12:15:00+05:30,36765.44921875,36851.3515625,36745.6484375,36780.51953125,36780.51953125,0
2019-08-08 13:15:00+05:30,36793.078125,36959.80859375,36745.6484375,36877.94140625,36877.94140625,0
2019-08-08 14:15:00+05:30,36916.69140625,37306.859375,36844.03125,37271.390625,37271.390625,0
2019-08-08 15:15:00+05:30,37275.6484375,37405.48046875,37274.73046875,37385.80078125,37385.80078125,0
2019-08-09 09:15:00+05:30,37327.359375,37611.48046875,37327.359375,37572.55859375,37572.55859375,0
